Pharma Model,Num Feature,Fit,Norm Fit,zscore,Num Hydrophobic,Num HB Acceptor,Num HB Donor,Num Positive,Num Negative,Num Aromatic,Name,Class,Gene Names,Uniplot,Function,Disease,Idication
1yk7_v,5,2.895,0.5789,1.31575,2,3,0,0,0,0,Cathepsin K,HYDROLASE,BCAT2 BCATM BCT2 ECA40,CATK_HUMAN,Closely involved in osteoclastic bone resorption and may participate partially in the disorder of bone remodeling. Displays potent endoprotease activity against fibrinogen at acid pH. May play an important role in extracellular matrix degradation.,Defects in CTSK are the cause of pycnodysostosis (PKND) [MIM:265800]. PKND is an autosomal recessive osteochondrodysplasia characterized by osteosclerosis and short stature.,Multiple sclerosis;Asthma;Cancer;Rheumatoid arthritis;Autoimmune disease;Arthritis;Bacterial infection;Bone disease;Osteoarthritis;Bone metastases;Immune disorder;Osteoporosis
2c47_v,4,2.282,0.5704,-0.3283,1,1,2,0,0,0,Casein kinase I isoform gamma-2,TRANSFERASE,NOS3,KC1G2_HUMAN,Casein kinases are operationally defined by their preferential utilization of acidic proteins such as caseins as substrates. It can phosphorylate a large number of proteins. Participates in Wnt signaling (By similarity).,NONE,NONE
1so2_v,5,2.821,0.5643,0.929949,2,2,1,0,0,0,"cGMP-inhibited 3,5-cyclic phosphodiesterase B",HYDROLASE,TYMP ECGF1,PDE3B_HUMAN,May play a role in fat metabolism.,NONE,NONE
1kta_v,4,2.256,0.5639,-1.27735,1,2,0,0,1,0,"Branched-chain-amino-acid aminotransferase, mitochondrial",NONE,RNASE4 RNS4,O15382,Amino acid transport and metabolism,NONE,For nutritional supplementation and for treating dietary shortage or imbalance.
1m9r_v,4,2.252,0.563,-0.70677,2,1,0,1,0,0,"Nitric oxide synthase, endothelial",OXIDOREDUCTASE,PDE4D DPDE3,NOS3_HUMAN,Produces nitric oxide (NO) which is implicated in vascular smooth muscle relaxation through a cGMP-mediated signal transduction pathway. NO mediates vascular endothelial growth factor (VEGF)-induced angiogenesis in coronary vessels and promotes blood clot,NONE,Coronary artery disease;Hypertension;Congestive heart failure;Angina;Myocardial infarction;Peripheral vascular disease;Atherosclerosis;Ischemic heart disease
1uou_v,4,2.252,0.563,-0.05173,1,0,3,0,0,0,Thymidine phosphorylase,TRANSFERASE,BIRC7 KIAP LIVIN MLIAP RNF50 UNQ5800/PRO19607/PRO21344,TYPH_HUMAN,"May have a role in maintaining the integrity of the blood vessels. Has growth promoting activity on endothelial cells, angiogenic activity in vivo and chemotactic activity on endothelial cells in vitro.;Catalyzes the reversible phosphorolysis of thymidine. The produced molecules are then utilized as carbon and energy sources or in the rescue of pyrimidine bases for nucleotide synthesis.","Defects in TYMP are the cause of mitochondrial neurogastrointestinal encephalomyopathy (MNGIE) [MIM:603041]; also known as myoneurogastrointestinal encephalomyopathy. MNGIE is an autosomal recessive disease associated with multiple deletions of skeletal muscle mitochondrial DNA (MtDNA). It is clinically characterized by onset between the second and fifth decades of life, ptosis, progressive external ophthalmoplegia, gastrointestinal dysmotility (often pseudoobstruction), diffuse leukoencephalopathy, thin body habitus, peripheral neuropathy, and myopathy.",Angiogenesis disorder;Cancer
2rnf_v,5,2.812,0.5623,0.872956,0,3,1,0,1,0,Ribonuclease 4,NONE,GSK3B,P34096,Involved in nucleic acid binding,NONE,NONE
1oyn_v,5,2.78,0.556,0.709303,2,3,0,0,0,0,"cAMP-specific 3,5-cyclic phosphodiesterase 4D",HYDROLASE,SHBG,PDE4D_HUMAN,Regulates the levels of cAMP in the cell.,"Genetic variations in PDE4D might be associated with susceptibility to stroke type 1 (STRK1) [MIM:606799]. A stroke is an acute neurologic event leading to death of neural tissue of the brain and resulting in loss of motor, sensory and/or cognitive function. PubMed:17006457 states that association with stroke has to be considered with caution.",NONE
3f7g_v,6,3.33,0.555,2.38076,1,2,2,1,0,0,Baculoviral IAP repeat-containing protein 7,NONE,NCS1 FLUP FREQ,Q96CA5,"Apoptotic regulator capable of exerting proapoptotic and anti-apoptotic activities and plays crucial roles in apoptosis, cell proliferation, and cell cycle control. Its anti-apoptotic activity is mediated through the inhibition of CASP3, CASP7 and CASP9, as well as by its E3 ubiquitin-protein ligase activity. As it is a weak caspase inhibitor, its anti-apoptotic activity is thought to be due to its ability to ubiquitinate DIABLO/SMAC targeting it for degradation thereby promoting cell survival. May contribute to caspase inhibition, by blocking the ability of DIABLO/SMAC to disrupt XIAP/BIRC4-caspase interactions. Protects against apoptosis induced by TNF or by chemical agents such as adriamycin, etoposide or staurosporine. Suppression of apoptosis is mediated by activation of MAPK8/JNK1, and possibly also of MAPK9/JNK2. This activation depends on TAB1 and NR2C2/TAK1. In vitro, inhibits CASP3 and proteolytic activation of pro-CASP9. Isoform 1 blocks staurosporine-induced apoptosis. Isoform 2 blocks etoposide-induced apoptosis. Isoform 2 protects against natural killer (NK) cell killing whereas isoform 1 augments killing.",NONE,NONE
1q5k_v,5,2.755,0.5511,0.674027,1,3,1,0,0,0,Glycogen synthase kinase-3 beta,TRANSFERASE,MMP12 HME,GSK3B_HUMAN,"Participates in the Wnt signaling pathway. Implicated in the hormonal control of several regulatory proteins including glycogen synthase, MYB and the transcription factor JUN. Phosphorylates JUN at sites proximal to its DNA-binding domain, thereby reducin",NONE,Alzheimers disease;Non-insulin dependent diabetes;Breast tumor;Chronic lymphocytic leukemia;Central nervous system disease;Inflammation;Prostate tumor;Solid tumor;Pain;Glioma;Cancer;Diffuse large B-cell lymphoma;Non-small-cell lung cancer;Neurodegenerative disease;Carcinoma;Cardiovascular disease;Diabetes mellitus;Osteoporosis;Cerebrovascular ischemia;Ovary tumor
1lhv_v,5,2.754,0.5509,0.312242,3,2,0,0,0,0,Sex hormone-binding globulin,TRANSPORT PROTEIN,DPP4 ADCP2 CD26,SHBG_HUMAN,"Functions as an androgen transport protein, but may also be involved in receptor mediated processes. Each dimer binds one molecule of steroid. Specific for 5-alpha-dihydrotestosterone, testosterone, and 17-beta-estradiol. Regulates the plasma metabolic cl",NONE,NONE
1g8i_v,5,2.75,0.5499,0.948107,0,5,0,0,0,0,Neuronal calcium sensor 1,METAL BINDING PROTEIN,REG1A PSPS PSPS1 REG,NCS1_HUMAN,"Neuronal calcium sensor, regulator of G protein-coupled receptor phosphorylation in a calcium dependent manner. Directly regulates GRK1 (RHOK), but not GRK2 to GRK5. Can substitute for calmodulin (By similarity).",NONE,NONE
1utt_v,5,2.736,0.5472,0.534442,2,3,0,0,0,0,Macrophage metalloelastase,HYDROLASE,PARP1 ADPRT PPOL,MMP12_HUMAN,"May be involved in tissue injury and remodeling. Has significant elastolytic activity. Can accept large and small amino acids at the P1 site, but has a preference for leucine. Aromatic or hydrophobic residues are preferred at the P1 site, with small hydr",NONE,Chronic obstructive pulmonary disease
1tkr_v,5,2.723,0.5446,0.901757,1,2,2,0,0,0,Dipeptidyl peptidase 4,HYDROLASE,CTSS,DPP4_HUMAN,Removes N-terminal dipeptides sequentially from polypeptides having unsubstituted N-termini provided that the penultimate residue is proline. Plays a role in T-cell activation.,NONE,Rheumatoid arthritis;Diabetes mellitus;Non-insulin dependent diabetes;Autoimmune disease;Immune disorder
1qdd_v,5,2.717,0.5435,0.826215,0,4,1,0,0,0,Lithostathine-1-alpha,NONE,FHIT,P05451,Involved in sugar binding,NONE,NONE
1wok_v,5,2.716,0.5432,0.341392,3,1,1,0,0,0,Poly [ADP-ribose] polymerase 1,NONE,IMPDH2 IMPD2,P09874,Involved in DNA binding,NONE,NONE
2fq9_v,5,2.702,0.5403,0.768104,2,1,1,1,0,0,Cathepsin S,HYDROLASE,CBR1 CBR CRN SDR21C1,CATS_HUMAN,Thiol protease. Key protease responsible for the removal of the invariant chain from MHC class II molecules. The bond- specificity of this proteinase is in part similar to the specificities of cathepsin L and cathepsin N.,NONE,Psoriasis;Arteriosclerosis;Pain;Rheumatoid arthritis;Autoimmune disease;Allergy;Inflammation;Asthma;Multiple sclerosis;Immune disorder
6fit_v,6,3.227,0.5379,2.53626,0,4,2,0,0,0,Bis(5-adenosyl)-triphosphatase,NONE,SULT2A1 HST STD,P49789,Nucleotide transport and metabolism,NONE,NONE
1b3o_v,5,2.673,0.5345,0.176256,0,3,1,0,1,0,Inosine-5-monophosphate dehydrogenase 2,DEHYDROGENASE,PTPN1 PTP1B,IMDH2_HUMAN,Rate limiting enzyme in the de novo synthesis of guanine nucleotides and therefore is involved in the regulation of cell growth. It may also have a role in the development of malignancy and the growth progression of some tumors.,NONE,Autoimmune disease;Transplant rejection
1wma_v,5,2.668,0.5336,0.48724,2,2,1,0,0,0,Carbonyl reductase [NADPH] 1,OXIDOREDUCTASE,AMY2A,CBR1_HUMAN,Catalyzes the reduction of a wide variety of carbonyl compounds including the antitumor anthracycline antibiotics. Can convert prostaglandin E2 to prostaglandin F2-alpha.,NONE,NONE
1j99_v,4,2.128,0.5321,-1.20766,3,0,1,0,0,0,Bile salt sulfotransferase,NONE,ATOX1 HAH1,Q06520,Involved in sulfotransferase activity,NONE,NONE
1c86_v,5,2.659,0.5319,0.271385,1,2,0,0,2,0,Tyrosine-protein phosphatase non-receptor type 1,HYDROLASE,LYZ LZM,PTN1_HUMAN,May play an important role in CKII- and p60c-src-induced signal transduction cascades (By similarity).,NONE,NONE
3cpu_v,5,2.627,0.5254,0.511611,0,2,3,0,0,0,Pancreatic alpha-amylase,HYDROLASE,YARS1 YARS,AMYP_HUMAN,NONE,NONE,Bacillus anthracis infection
1fe0_v,5,2.621,0.5242,0.657253,0,2,3,0,0,0,Copper transport protein ATOX1,NONE,KIF11 EG5 KNSL1 TRIP5,O00244,Involved in metal ion binding,NONE,NONE
1rem_v,6,3.14,0.5234,2.15758,0,3,3,0,0,0,Lysozyme C,NONE,B3GAT1 GLCATP,P61626,Lysozymes have primarily a bacteriolytic function; those in tissues and body fluids are associated with the monocyte-macrophage system and enhance the activity of immunoagents.,NONE,NONE
1q11_v,5,2.614,0.5229,0.259229,2,1,1,1,0,0,"Tyrosyl-tRNA synthetase, cytoplasmic",NONE,LDHB,P54577,"Translation, ribosomal structure and biogenesis",NONE,"Tyrosine is claimed to act as an effective antidepressant, however results are mixed. Tyrosine has also been claimed to reduce stress and combat narcolepsy and chronic fatigue, however these claims have been refuted by some studies."
1yrs_v,5,2.614,0.5228,0.144283,3,0,2,0,0,0,Kinesin-like protein KIF11,CELL CYCLE,HEXB HCC7,KIF11_HUMAN,Motor protein required for establishing a bipolar spindle. Blocking of KIF11 prevents centrosome migration and arrest cells in mitosis with monoastral microtubule arrays.,NONE,Melanoma;Hodgkins disease;Acute leukemia;Breast tumor;Head and neck tumor;Hepatocellular carcinoma;Ovary tumor;Prostate tumor;Solid tumor;Non-Hodgkin lymphoma;Cancer;Non-small-cell lung cancer;Renal cell carcinoma;Colorectal tumor
1v84_v,6,3.114,0.519,1.93859,0,3,3,0,0,0,Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 1,TRANSFERASE,ANXA5 ANX5 ENX2 PP4,B3GA1_HUMAN,"Involved in the biosynthesis of L2/HNK-1 carbohydrate epitope on glycoproteins. Can also play a role in glycosaminoglycan biosynthesis. Substrates include asialo- orosomucoid (ASOR), asialo-fetuin, and asialo-neural cell adhesion molecule. Requires sphing",NONE,NONE
1t2f_v,5,2.592,0.5183,-0.26178,0,3,1,0,1,0,L-lactate dehydrogenase B chain,NONE,SOD2,P07195,Energy production and conversion,NONE,"Some evidence suggests that NADH might be useful in treating Parkinsons disease, chronic fatigue syndrome, Alzheimers disease and cardiovascular disease."
1now_v,6,3.104,0.5174,1.92475,0,2,3,1,0,0,Beta-hexosaminidase subunit beta,NONE,CDA CDD,P07686,Carbohydrate transport and metabolism,NONE,NONE
1hak_v,4,2.067,0.5168,-2.22441,3,1,0,0,0,0,Annexin A5,CALCIUM/PHOSPHOLIPID-BINDING,PNPO,ANXA5_HUMAN,"This protein is an anticoagulant protein that acts as an indirect inhibitor of the thromboplastin-specific complex, which is involved in the blood coagulation cascade.",NONE,NONE
1xdc_v,5,2.568,0.5136,0.160682,2,1,2,0,0,0,"Superoxide dismutase [Mn], mitochondrial",NONE,CLIC1 G6 NCC27,P04179,Destroys superoxide anion radicals which are normally produced within the cells and which are toxic to biological systems.,NONE,NONE
1mq0_v,5,2.558,0.5116,0.133427,1,3,1,0,0,0,Cytidine deaminase,HYDROLASE,IL2,CDD_HUMAN,This enzyme scavenge exogenous and endogenous cytidine and 2-deoxycytidine for UMP synthesis.,NONE,NONE
1nrg_v,4,2.014,0.5035,-1.63,0,3,0,0,1,0,Pyridoxine-5-phosphate oxidase,NONE,MAN1B1 UNQ747/PRO1477,Q9NVS9,Coenzyme transport and metabolism,NONE,For nutritional supplementation and for treating dietary shortage or imbalance.
1k0n_v,5,2.508,0.5015,0.017527,1,0,1,1,2,0,Chloride intracellular channel protein 1,NONE,ALB GIG20 GIG42 PRO0903 PRO1708 PRO2044 PRO2619 PRO2675 UNQ696/PRO1341,O00299,Can insert into membranes and form chloride ion channels. Channel activity depends on the pH. Membrane insertion seems to be redox-regulated and may occur only under oxydizing conditions. Involved in regulation of the cell cycle.,NONE,NONE
1m4b_v,6,3.004,0.5007,1.51507,1,2,2,1,0,0,Interleukin-2,CYTOKINE,SORD,IL2_HUMAN,"Produced by T-cells in response to antigenic or mitogenic stimulation, this protein is required for T-cell proliferation and other activities crucial to regulation of the immune response. Can stimulate B-cells, monocytes, lymphokine- activated killer cell",A chromosomal aberration involving IL2 is found in a form of T-cell acute lymphoblastic leukemia (T-ALL). Translocation t(4;16)(q26;p13) with involves TNFRSF17.,Cancer
1fo2_v,5,2.49,0.498,0.169409,0,2,2,1,0,0,"Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase",NONE,IGF1R,Q9UKM7,"Involved in mannosyl-oligosaccharide 1,2-alpha-mannosidase activity",NONE,NONE
2bx8_v,5,2.479,0.4958,-0.73521,4,1,0,0,0,0,Serum albumin,TRANSPORT PROTEIN,NOS2 NOS2A,ALBU_HUMAN,"Serum albumin, the main protein of plasma, has a good binding capacity for water, Ca(2+), Na(+), K(+), fatty acids, hormones, bilirubin and drugs. Its main function is the regulation of the colloidal osmotic pressure of blood.",Defects in ALB are a cause of familial dysalbuminemic hyperthyroxinemia (FDH) [MIM:103600]. FDH is a form of euthyroid hyperthyroxinemia that is due to increased affinity of ALB for T(4). It is the most common cause of inherited euthyroid hyperthyroxinemia in Caucasian population.;A variant structure of albumin could lead to increased binding of zinc resulting in an asymptomatic augmentation of zinc concentration in the blood [MIM:194470].,NONE
1pl6_v,5,2.458,0.4916,-0.69264,2,3,0,0,0,0,Sorbitol dehydrogenase,OXIDOREDUCTASE,CCNA2 CCN1 CCNA,DHSO_HUMAN,NONE,NONE,Diabetic complication
1jqh_v,5,2.449,0.4898,-0.20196,0,3,1,0,1,0,Insulin-like growth factor 1 receptor,TRANSFERASE,AKR1B1 ALDR1 ALR2,IGF1R_HUMAN,"This receptor binds insulin-like growth factor 1 (IGF1) with a high affinity and IGF2 with a lower affinity. It has a tyrosine-protein kinase activity, which is necessary for the activation of the IGF1-stimulated downstream signaling cascade.",Defects in IGF1R may be a cause in some cases of resistance to insulin-like growth factor 1 (IGF1 resistance) [MIM:270450]. IGF1 resistance is a gowth deficiency disorder characterized by intrauterine growth retardation and poor postnatal growth accompanied with increased plasma IGF1.,Endocrine disease;Neuroendocrine tumor;Chronic myelocytic leukemia;Cerebrovascular ischemia;Restenosis;Breast tumor;Pancreas tumor;Esophageal disease;Central nervous system disease;Prostate tumor;Acromegaly;Renal tumor;Solid tumor;Psoriasis;Pancreatitis;Cancer;Rheumatoid arthritis;Non-small-cell lung cancer;Neurodegenerative disease;Multiple myeloma;Colorectal tumor;Diabetes mellitus;Hypertension;Growth disorder;Acute lymphoblastic leukemia
2nsi_v,6,2.936,0.4893,1.35116,1,1,4,0,0,0,"Nitric oxide synthase, inducible",OXIDOREDUCTASE,ARG2,NOS2_HUMAN,"Produces nitric oxide (NO) which is a messenger molecule with diverse functions throughout the body. In macrophages, NO mediates tumoricidal and bactericidal actions.",NONE,Asthma;Mucositis;Migraine;Neuropathic pain;Irritable bowel syndrome;Reperfusion injury;Inflammatory bowel disease;Inflammation;Chronic obstructive pulmonary disease;Gastric motility disorder;Uveitis;Insulin dependent diabetes;Multiple sclerosis;Rheumatoid arthritis;Sepsis;Osteoarthritis;Transplant rejection;Gingivitis;Allergic rhinitis
1oiu_v,6,2.896,0.4827,1.09568,1,2,3,0,0,0,Cyclin-A2,KINASE,LCK,CCNA2_HUMAN,Essential for the control of the cell cycle at the G1/S (start) and the G2/M (mitosis) transitions.,NONE,NONE
1ef3_v,6,2.886,0.4809,0.645475,2,3,1,0,0,0,Aldose reductase,OXIDOREDUCTASE,ALDOA ALDA,ALDR_HUMAN,Catalyzes the NADPH-dependent reduction of a wide variety of carbonyl-containing compounds to their corresponding alcohols with a broad range of catalytic efficiencies.,"In diabetes and galactosemia, increased AR activity leads to high levels of sorbitol and galactitol, respectively, in the cells of many tissues. Accumulation of sugar alcohols has been shown to cause osmotic cataracts in the lens. AR is also thought to play a key role in diabetic complications of three other target tissues, namely, nerve, kidney and retina.",Neuropathy;Diabetic neuropathy;Diabetic foot ulcer;Diabetic complication;Diabetic nephropathy;Retinopathy;Ocular disease;Central nervous system disease;Diabetic retinopathy;Diabetes mellitus;Diabetic cataract;Cataract
1pq3_v,7,3.365,0.4807,2.6107,0,3,3,1,0,0,"Arginase-2, mitochondrial",HYDROLASE,PADI4 PAD4 PADI5 PDI5,ARGI2_HUMAN,May play a role in the regulation of extra-urea cycle arginine metabolism and also in down-regulation of nitric oxide synthesis. Extrahepatic arginase functions to regulate L-arginine bioavailability to NO synthase. Since NO synthase is found in the penil,NONE,NONE
1qpe_v,6,2.879,0.4799,0.506359,3,2,1,0,0,0,Proto-oncogene tyrosine-protein kinase LCK,TRANSFERASE,ACP3 ACPP,LCK_HUMAN,Tyrosine kinase that plays an essential role for the selection and maturation of developing T-cell in the thymus and in mature T-cell function. Is constitutively associated with the cytoplasmic portions of the CD4 and CD8 surface receptors and plays a key,A chromosomal aberration involving LCK is found in leukemias. Translocation t(1;7)(p34;q34) with TCRB.,Psoriasis;Cancer;Rheumatoid arthritis;Cardiac failure;Atherosclerosis;Delayed hypersensitivity;Transplant rejection;Inflammation;Multiple sclerosis;Autoimmune disease
1mfv_v,6,2.87,0.4783,1.22081,0,2,4,0,0,0,Salivary alpha-amylase,NONE,HDAC8 HDACL1 CDA07,P04745,Carbohydrate transport and metabolism,NONE,NONE
4ald_v,6,2.869,0.4781,0.931575,0,4,1,0,1,0,Fructose-bisphosphate aldolase A,LYASE,MMP9 CLG4B,ALDOA_HUMAN,NONE,Defects in ALDOA are the cause of aldolase A deficiency [MIM:611881]; also known as aldoA deficiency or red cell aldolase deficiency. Aldolase A deficiency is an autosomal recessive disorder associated with hereditary hemolytic anemia.,NONE
1wda_v,6,2.864,0.4774,0.57642,2,2,1,1,0,0,Protein-arginine deiminase type-4,HYDROLASE,TGM3,PADI4_HUMAN,"Catalyzes the citrullination/deimination of arginine residues of proteins. Citrullinates histone H3 at Arg-8 and/or Arg-17 and histone H4 at Arg-3, which prevents their methylation by CARM1 and HRMT1L2/PRMT1 and represses transcription. Citrullinate","PADI4 is thought to be a rheumatoid arthritis susceptibility locus [MIM:180300]. Could have an important role in the pathogenesis of rheumatoid arthritis by increasing citrullination of proteins in rheumatoid arthritis synovial tissues, leading, in a cytokine-rich milieu, to a break in tolerance to citrullinated peptides processed and presented in the appropriate HLA context.",NONE
2hpa_v,6,2.861,0.4769,0.866028,1,2,2,0,1,0,Prostatic acid phosphatase,HYDROLASE,BST1,PPAP_HUMAN,NONE,NONE,Prostate tumor
1vkg_v,6,2.86,0.4767,0.584241,3,1,2,0,0,0,Histone deacetylase 8,HYDROLASE,PCK1 PEPCK1,HDAC8_HUMAN,"Responsible for the deacetylation of lysine residues on the N-terminal part of the core histones (H2A, H2B, H3 and H4). Histone deacetylation gives a tag for epigenetic repression and plays an important role in transcriptional regulation, cell cycle progr",NONE,NONE
1gkd_v,7,3.33,0.4757,1.9232,1,4,2,0,0,0,Matrix metalloproteinase-9,HYDROLASE,GSTM2 GST4,MMP9_HUMAN,May play an essential role in local proteolysis of the extracellular matrix and in leukocyte migration. Could play a role in bone osteoclastic resorption. Cleaves KiSS1 at a Gly-,#NAME?,Defects in MMP9 may be a cause of susceptibility to lumbar disk herniation (LDH) [MIM:603932]. LDH is the predominant cause of low-back pain and unilateral leg pain.
1vjj_v,6,2.849,0.4748,0.995356,0,3,1,0,2,0,Protein-glutamine gamma-glutamyltransferase E,TRANSFERASE,RNASE3 ECP RNS3,TGM3_HUMAN,Catalyzes the cross-linking of proteins and the conjugation of polyamines to proteins. It is responsible for the later stages of cell envelope formation in the epidermis and the hair follicle.,NONE,NONE
1isi_v,6,2.848,0.4747,1.23086,0,4,1,1,0,0,ADP-ribosyl cyclase 2,HYDROLASE,CTSF,BST1_HUMAN,"Synthesizes cyclic ADP-ribose, a second messenger that elicits calcium release from intracellular stores. May be involved in pre-B-cell growth.",Rheumatoid arthritis (RA) patients show enhanced expression of BST-1 transcripts in bone marrow stromal cell lines. This suggests that BST-1 overexpression may play a role in B-cell abnormalities in RA.,Hematological neoplasm;Multiple myeloma
1m51_v,6,2.846,0.4743,-0.12768,3,3,0,0,0,0,"Phosphoenolpyruvate carboxykinase, cytosolic [GTP]",NONE,CCL5 D17S136E SCYA5,P35558,Energy production and conversion,NONE,NONE
1xw5_v,9,4.263,0.4737,4.43631,1,5,1,1,1,0,Glutathione S-transferase Mu 2,TRANSFERASE,MAPK14 CSBP CSBP1 CSBP2 CSPB1 MXI2 SAPK2A,GSTM2_HUMAN,Conjugation of reduced glutathione to a wide number of exogenous and endogenous hydrophobic electrophiles.,NONE,NONE
1h1h_v,6,2.834,0.4723,0.632016,0,4,0,0,2,0,Eosinophil cationic protein,NONE,ABO,P12724,Involved in nucleic acid binding,NONE,Used as an adjunct to the standard therapy of inhaled steroids with inhaled long- and/or short-acting beta-agonists.
1m6d_v,7,3.298,0.4711,2.04142,3,2,2,0,0,0,Cathepsin F,NONE,MAOB,Q9UBX1,Involved in cysteine-type endopeptidase activity,NONE,NONE
1u4l_v,6,2.807,0.4678,0.93657,0,5,1,0,0,0,C-C motif chemokine 5,ATTRACTANT,SERPINA1 AAT PI PRO0684 PRO2209,CCL5_HUMAN,"Chemoattractant for blood monocytes, memory T-helper cells and eosinophils. Causes the release of histamine from basophils and activates eosinophils. Binds to CCR1, CCR3, CCR4 and CCR5. One of the major HIV-suppressive factors produced by CD8+ T- cells. R",NONE,NONE
1bmk_v,5,2.335,0.467,-1.21529,4,1,0,0,0,0,Mitogen-activated protein kinase 14,NONE,OTC,Q16539,Involved in MAP kinase activity,NONE,NONE
1r81_v,8,3.732,0.4665,3.284,3,3,1,1,0,0,Histo-blood group ABO system transferase,NONE,MAPKAPK2,P16442,"Involved in transferase activity, transferring hexosyl groups",NONE,NONE
1ojd_v,6,2.786,0.4643,-0.00498,4,0,1,1,0,0,Amine oxidase [flavin-containing] B,OXIDOREDUCTASE,REN,AOFB_HUMAN,Catalyzes the oxidative deamination of biogenic and xenobiotic amines and has important functions in the metabolism of neuroactive and vasoactive amines in the central nervous system and peripheral tissues. MAOB preferentially degrades benzylamine and phe,NONE,Alzheimers disease;Cocaine addiction;Major depressive disorder;Epilepsy;Neurodegenerative disease;Attention deficit hyperactivity disorder;Head injury;Parkinsons disease;Dementia;Nicotine dependence;Cerebrovascular ischemia
1iz2_v,6,2.771,0.4618,0.507213,3,1,2,0,0,0,Alpha-1-antitrypsin,PROTEIN BINDING,F10,A1AT_HUMAN,"Inhibitor of serine proteases. Its primary target is elastase, but it also has a moderate affinity for plasmin and thrombin. Inhibits trypsin, chymotrypsin and plasminogen activator. The aberrant form inhibits insulin-induced NO synthesis in platelets, de","The major physiological function of AAT is the protection of the lower respiratory tract against proteolytic destruction by human leukocyte elastase (HLE). A hereditary deficiency of AAT, is associated with a 20-30 fold increased risk of developing chronic obstructive pulmonary disease.;Deficiency of the normal inhibitor in individuals homozygous for allele Z or M-Malton can result in the development of chronic emphysema or infantile liver cirrhosis.;Variant Pittsburgh is the cause of bleeding diathesis.",Psoriasis;Genital tract inflammation;Otitis media;Wound healing;Atopic dermatitis;Dermatitis;Cystitis;Inflammatory bowel disease;Cystic fibrosis;Alpha-1 antitrypsin deficiency;Dermatological disease
1fvo_v,5,2.303,0.4606,-1.08673,0,2,1,0,2,0,"Ornithine carbamoyltransferase, mitochondrial",NONE,MTHFD1 MTHFC MTHFD,P00480,Amino acid transport and metabolism,NONE,"Used for nutritional supplementation, also for treating dietary shortage or imbalance. It has been claimed that ornithine improves athletic performance, has anabolic effects, has wound-healing effects, and is immuno-enhancing."
1ny3_v,6,2.744,0.4573,0.528962,0,2,2,0,2,0,MAP kinase-activated protein kinase 2,NONE,PAK6 PAK5,P49137,Involved in protein kinase activity,NONE,NONE
2iku_v,5,2.267,0.4533,-0.78147,3,0,2,0,0,0,Renin,HYDROLASE,IGF1 IBP1,RENI_HUMAN,"Renin is a highly specific endopeptidase, whose only known function is to generate angiotensin I from angiotensinogen in the plasma, initiating a cascade of reactions that produce an elevation of blood pressure and increased sodium retention by the kidney","Defects in REN are a cause of renal tubular dysgenesis (RTD) [MIM:267430]. RTD is an autosomal recessive severe disorder of renal tubular development characterized by persistent fetal anuria and perinatal death, probably due to pulmonary hypoplasia from early-onset oligohydramnios (the Potter phenotype).",Glaucoma;Renal disease;Cardiac failure;Atherosclerosis;HIV infection;Hypertension;Cardiovascular disease;Ocular hypertension;Renal failure
2g00_v,6,2.714,0.4523,0.48296,3,1,2,0,0,0,Coagulation factor X,HYDROLASE,LGALS3 MAC2,FA10_HUMAN,"Factor Xa is a vitamin K-dependent glycoprotein that converts prothrombin to thrombin in the presence of factor Va, calcium and phospholipid during blood clotting.",NONE,Thromboembolism
1dia_v,6,2.7,0.4499,0.496183,2,2,2,0,0,0,"C-1-tetrahydrofolate synthase, cytoplasmic",NONE,CHEK1 CHK1,P11586,Nucleotide transport and metabolism,NONE,"For nutritional supplementation, also for treating dietary shortage or imbalance."
2c30_v,6,2.694,0.4491,-0.01449,0,4,1,0,1,0,Serine/threonine-protein kinase PAK 6,TRANSFERASE,CYP2C9 CYP2C10,PAK6_HUMAN,The activated kinase acts on a variety of targets (By similarity).,NONE,NONE
1gzr_v,6,2.685,0.4474,0.194142,3,2,0,1,0,0,Insulin-like growth factor IA,NONE,HCK,P01343,NONE,NONE,NONE
1kjl_v,7,3.126,0.4465,1.32386,0,3,4,0,0,0,Galectin-3,SUGAR BINDING PROTEIN,ALDH2 ALDM,LEG3_HUMAN,"Galactose-specific lectin which binds IgE. May mediate with the alpha-3, beta-1 integrin the stimulation by CSPG4 of endothelial cells migration. Together with DMBT1, required for terminal differentiation of columnar epithelial cells during early embryoge",NONE,Colorectal tumor;Chronic lymphocytic leukemia;Cancer;Prostate tumor;Pancreas tumor;Metastasis;Multiple myeloma
2bro_v,6,2.668,0.4446,0.142034,2,2,2,0,0,0,Serine/threonine-protein kinase Chk1,TRANSFERASE,MMP7 MPSL1 PUMP1,CHK1_HUMAN,Required for checkpoint mediated cell cycle arrest in response to DNA damage or the presence of unreplicated DNA. May also negatively regulate cell cycle progression during unperturbed cell cycles. Recognizes the substrate consensus sequence [R-X-X- S/T].,NONE,Cancer;Solid tumor
